Epoch;Iteration;Learning Rate;Training-loss;Test-loss;Validation-loss;Training-accuracy;Test-accuracy;Validation-Accuracy
0;-1;0.001;0.0;0.0;0.11664502900452876;0.0;0.0;0.3816863000392914
1;-1;0.0010014876045454546;0.0;0.0;0.11534181608422227;0.0;0.0;0.3943789601325989
2;-1;0.001002975209090909;0.0;0.0;0.1146219568621001;0.0;0.0;0.39891207218170166
3;-1;0.0010044628136363636;0.0;0.0;0.11410036253902592;0.0;0.0;0.39528557658195496
4;-1;0.0010059504181818182;0.0;0.0;0.11365649182191612;0.0;0.0;0.39619219303131104
5;-1;0.0010074380227272728;0.0;0.0;0.1132380382811334;0.0;0.0;0.3970988094806671
6;-1;0.0010089256272727274;0.0;0.0;0.11282138107692952;0.0;0.0;0.39528557658195496
7;-1;0.0010104132318181818;0.0;0.0;0.11239763056530347;0.0;0.0;0.402538537979126
8;-1;0.0010119008363636364;0.0;0.0;0.11196821436924526;0.0;0.0;0.39981868863105774
9;-1;0.001013388440909091;0.0;0.0;0.1115434708851851;0.0;0.0;0.4106980860233307
10;-1;0.0010148760454545454;0.0;0.0;0.11114032459937975;0.0;0.0;0.41704443097114563
11;-1;0.00101636365;0.0;0.0;0.11077696798987938;0.0;0.0;0.4143245816230774
12;-1;0.0010178512545454545;0.0;0.0;0.11046597206663698;0.0;0.0;0.41523119807243347
13;-1;0.0010193388590909091;0.0;0.0;0.11021008237334161;0.0;0.0;0.4097914695739746
14;-1;0.0010208264636363637;0.0;0.0;0.11000322660900656;0.0;0.0;0.40797823667526245
15;-1;0.0010223140681818181;0.0;0.0;0.10983488332761727;0.0;0.0;0.40797823667526245
16;-1;0.0010238016727272727;0.0;0.0;0.10969430706464206;0.0;0.0;0.402538537979126
17;-1;0.0010252892772727273;0.0;0.0;0.10957280240178474;0.0;0.0;0.39981868863105774
18;-1;0.001026776881818182;0.0;0.0;0.10946422673430287;0.0;0.0;0.3980054259300232
19;-1;0.0010282644863636363;0.0;0.0;0.10936458878549259;0.0;0.0;0.39891207218170166
20;-1;0.001029752090909091;0.0;0.0;0.10927141664529556;0.0;0.0;0.39891207218170166
21;-1;0.0010312396954545455;0.0;0.0;0.10918320854449681;0.0;0.0;0.4007253050804138
22;-1;0.0010327273;0.0;0.0;0.10909904537118165;0.0;0.0;0.4016319215297699
23;-1;0.0010342149045454545;0.0;0.0;0.10901834565403262;0.0;0.0;0.40344515442848206
