SUCCESS: 345; FAILURE: 724; TOTAL: 1069
SUCCESS: 32%; FAILURE: 67%; TOTAL: 1069

SUCCESS: 371; FAILURE: 698; TOTAL: 1069
SUCCESS: 34%; FAILURE: 65%; TOTAL: 1069

SUCCESS: 328; FAILURE: 741; TOTAL: 1069
SUCCESS: 30%; FAILURE: 69%; TOTAL: 1069

SUCCESS: 432; FAILURE: 637; TOTAL: 1069
SUCCESS: 40%; FAILURE: 59%; TOTAL: 1069

SUCCESS: 375; FAILURE: 694; TOTAL: 1069
SUCCESS: 35%; FAILURE: 64%; TOTAL: 1069

SUCCESS: 427; FAILURE: 642; TOTAL: 1069
SUCCESS: 39%; FAILURE: 60%; TOTAL: 1069

SUCCESS: 335; FAILURE: 734; TOTAL: 1069
SUCCESS: 31%; FAILURE: 68%; TOTAL: 1069

SUCCESS: 460; FAILURE: 609; TOTAL: 1069
SUCCESS: 43%; FAILURE: 56%; TOTAL: 1069

SUCCESS: 317; FAILURE: 752; TOTAL: 1069
SUCCESS: 29%; FAILURE: 70%; TOTAL: 1069

SUCCESS: 439; FAILURE: 630; TOTAL: 1069
SUCCESS: 41%; FAILURE: 58%; TOTAL: 1069

SUCCESS: 331; FAILURE: 738; TOTAL: 1069
SUCCESS: 30%; FAILURE: 69%; TOTAL: 1069

SUCCESS: 446; FAILURE: 623; TOTAL: 1069
SUCCESS: 41%; FAILURE: 58%; TOTAL: 1069

SUCCESS: 319; FAILURE: 750; TOTAL: 1069
SUCCESS: 29%; FAILURE: 70%; TOTAL: 1069

SUCCESS: 460; FAILURE: 609; TOTAL: 1069
SUCCESS: 43%; FAILURE: 56%; TOTAL: 1069

SUCCESS: 352; FAILURE: 717; TOTAL: 1069
SUCCESS: 32%; FAILURE: 67%; TOTAL: 1069

SUCCESS: 471; FAILURE: 598; TOTAL: 1069
SUCCESS: 44%; FAILURE: 55%; TOTAL: 1069

SUCCESS: 344; FAILURE: 725; TOTAL: 1069
SUCCESS: 32%; FAILURE: 67%; TOTAL: 1069

SUCCESS: 435; FAILURE: 634; TOTAL: 1069
SUCCESS: 40%; FAILURE: 59%; TOTAL: 1069

SUCCESS: 352; FAILURE: 717; TOTAL: 1069
SUCCESS: 32%; FAILURE: 67%; TOTAL: 1069

SUCCESS: 455; FAILURE: 614; TOTAL: 1069
SUCCESS: 42%; FAILURE: 57%; TOTAL: 1069

SUCCESS: 346; FAILURE: 723; TOTAL: 1069
SUCCESS: 32%; FAILURE: 67%; TOTAL: 1069

SUCCESS: 456; FAILURE: 613; TOTAL: 1069
SUCCESS: 42%; FAILURE: 57%; TOTAL: 1069

SUCCESS: 333; FAILURE: 736; TOTAL: 1069
SUCCESS: 31%; FAILURE: 68%; TOTAL: 1069

SUCCESS: 461; FAILURE: 608; TOTAL: 1069
SUCCESS: 43%; FAILURE: 56%; TOTAL: 1069

SUCCESS: 310; FAILURE: 759; TOTAL: 1069
SUCCESS: 28%; FAILURE: 71%; TOTAL: 1069

SUCCESS: 452; FAILURE: 617; TOTAL: 1069
SUCCESS: 42%; FAILURE: 57%; TOTAL: 1069

SUCCESS: 365; FAILURE: 704; TOTAL: 1069
SUCCESS: 34%; FAILURE: 65%; TOTAL: 1069

SUCCESS: 434; FAILURE: 635; TOTAL: 1069
SUCCESS: 40%; FAILURE: 59%; TOTAL: 1069

SUCCESS: 369; FAILURE: 700; TOTAL: 1069
SUCCESS: 34%; FAILURE: 65%; TOTAL: 1069

SUCCESS: 467; FAILURE: 602; TOTAL: 1069
SUCCESS: 43%; FAILURE: 56%; TOTAL: 1069

SUCCESS: 333; FAILURE: 736; TOTAL: 1069
SUCCESS: 31%; FAILURE: 68%; TOTAL: 1069

SUCCESS: 444; FAILURE: 625; TOTAL: 1069
SUCCESS: 41%; FAILURE: 58%; TOTAL: 1069

SUCCESS: 457; FAILURE: 612; TOTAL: 1069
SUCCESS: 42%; FAILURE: 57%; TOTAL: 1069

