SUCCESS: 171; FAILURE: 154; TOTAL: 325
SUCCESS: 52%; FAILURE: 47%; TOTAL: 325

SUCCESS: 174; FAILURE: 151; TOTAL: 325
SUCCESS: 53%; FAILURE: 46%; TOTAL: 325

SUCCESS: 132; FAILURE: 193; TOTAL: 325
SUCCESS: 40%; FAILURE: 59%; TOTAL: 325

SUCCESS: 139; FAILURE: 186; TOTAL: 325
SUCCESS: 42%; FAILURE: 57%; TOTAL: 325

SUCCESS: 151; FAILURE: 174; TOTAL: 325
SUCCESS: 46%; FAILURE: 53%; TOTAL: 325

SUCCESS: 164; FAILURE: 161; TOTAL: 325
SUCCESS: 50%; FAILURE: 49%; TOTAL: 325

SUCCESS: 162; FAILURE: 163; TOTAL: 325
SUCCESS: 49%; FAILURE: 50%; TOTAL: 325

SUCCESS: 583; FAILURE: 1242; TOTAL: 1825
SUCCESS: 31%; FAILURE: 68%; TOTAL: 1825

SUCCESS: 607; FAILURE: 1218; TOTAL: 1825
SUCCESS: 33%; FAILURE: 66%; TOTAL: 1825

SUCCESS: 639; FAILURE: 1186; TOTAL: 1825
SUCCESS: 35%; FAILURE: 64%; TOTAL: 1825

SUCCESS: 619; FAILURE: 1206; TOTAL: 1825
SUCCESS: 33%; FAILURE: 66%; TOTAL: 1825

SUCCESS: 646; FAILURE: 1179; TOTAL: 1825
SUCCESS: 35%; FAILURE: 64%; TOTAL: 1825

SUCCESS: 631; FAILURE: 1194; TOTAL: 1825
SUCCESS: 34%; FAILURE: 65%; TOTAL: 1825

SUCCESS: 600; FAILURE: 1225; TOTAL: 1825
SUCCESS: 32%; FAILURE: 67%; TOTAL: 1825

SUCCESS: 567; FAILURE: 1258; TOTAL: 1825
SUCCESS: 31%; FAILURE: 68%; TOTAL: 1825

SUCCESS: 85; FAILURE: 77; TOTAL: 162
SUCCESS: 52%; FAILURE: 47%; TOTAL: 162

SUCCESS: 86; FAILURE: 76; TOTAL: 162
SUCCESS: 53%; FAILURE: 46%; TOTAL: 162

SUCCESS: 98; FAILURE: 64; TOTAL: 162
SUCCESS: 60%; FAILURE: 39%; TOTAL: 162

SUCCESS: 91; FAILURE: 71; TOTAL: 162
SUCCESS: 56%; FAILURE: 43%; TOTAL: 162

SUCCESS: 109; FAILURE: 53; TOTAL: 162
SUCCESS: 67%; FAILURE: 32%; TOTAL: 162

SUCCESS: 105; FAILURE: 57; TOTAL: 162
SUCCESS: 64%; FAILURE: 35%; TOTAL: 162

SUCCESS: 100; FAILURE: 62; TOTAL: 162
SUCCESS: 61%; FAILURE: 38%; TOTAL: 162

SUCCESS: 82; FAILURE: 80; TOTAL: 162
SUCCESS: 50%; FAILURE: 49%; TOTAL: 162

